Tissue,Mixture,CellType,PerturbedVsTrueSpearman,RecoveredVsTrueSpearman,Pass_0_8
Blood,Mixture27,memory_B_cell,0.9993903284150081,0.9982163142124871,True
Blood,Mixture27,plasma_cell,0.9994872068339764,0.9983871710116232,True
Blood,Mixture27,platelet,0.999553376702053,0.9995317164916204,True
Blood,Mixture28,erythrocyte,0.9995130177580721,0.7348074204970979,False
Blood,Mixture28,classical_monocyte,0.9992154863983849,0.9666984138660124,True
Blood,Mixture28,neutrophil,0.9994943896497326,0.9474192430425505,True
Blood,Mixture28,memory_B_cell,0.9993903284150081,0.9742824582757782,True
Blood,Mixture28,plasma_cell,0.9994872068339764,0.9994872068339764,True
Blood,Mixture28,platelet,0.999553376702053,0.9939091173545801,True
Blood,Mixture29,erythrocyte,0.9995130177580721,0.9995083812853137,True
Blood,Mixture29,classical_monocyte,0.9992154863983849,0.9724271403243063,True
Blood,Mixture29,neutrophil,0.9994943896497326,0.7930772699382033,False
Blood,Mixture29,memory_B_cell,0.9993903284150081,0.9185795489591893,True
Blood,Mixture29,plasma_cell,0.9994872068339764,0.9962738233461852,True
Blood,Mixture29,platelet,0.999553376702053,0.9846968431299428,True
Blood,Mixture30,erythrocyte,0.9995130177580721,0.7353859690759929,False
Blood,Mixture30,classical_monocyte,0.9992154863983849,0.9573317097577361,True
Blood,Mixture30,neutrophil,0.9994943896497326,0.8813029363325962,True
Blood,Mixture30,memory_B_cell,0.9993903284150081,0.9434283602794602,True
Blood,Mixture30,plasma_cell,0.9994872068339764,0.9990526564748101,True
Blood,Mixture30,platelet,0.999553376702053,0.999506136739543,True
Blood,Mixture31,erythrocyte,0.9995130177580721,0.6606229277922117,False
Blood,Mixture31,classical_monocyte,0.9992154863983849,0.8470544885951017,True
Blood,Mixture31,neutrophil,0.9994943896497326,0.9735631086506291,True
Blood,Mixture31,memory_B_cell,0.9993903284150081,0.9973400087671871,True
Blood,Mixture31,plasma_cell,0.9994872068339764,0.997515043269362,True
Blood,Mixture31,platelet,0.999553376702053,0.9983617824920147,True
Blood,Mixture32,erythrocyte,0.9995130177580721,0.7036316522041657,False
Blood,Mixture32,classical_monocyte,0.9992154863983849,0.9455293513178696,True
Blood,Mixture32,neutrophil,0.9994943896497326,0.8297930011802127,True
Blood,Mixture32,memory_B_cell,0.9993903284150081,0.9992243747118482,True
Blood,Mixture32,plasma_cell,0.9994872068339764,0.9985241917403402,True
Blood,Mixture32,platelet,0.999553376702053,0.9994910004042299,True
Blood,Mixture33,erythrocyte,0.9995130177580721,0.7822215982231057,False
Blood,Mixture33,classical_monocyte,0.9992154863983849,0.9597032643190497,True
Blood,Mixture33,neutrophil,0.9994943896497326,0.9277651046475065,True
Blood,Mixture33,memory_B_cell,0.9993903284150081,0.972812960860356,True
Blood,Mixture33,plasma_cell,0.9994872068339764,0.9992234342678447,True
Blood,Mixture33,platelet,0.999553376702053,0.9961746089469856,True
Blood,Mixture34,erythrocyte,0.9995130177580721,0.7370912402958497,False
Blood,Mixture34,classical_monocyte,0.9992154863983849,0.9587153465933879,True
Blood,Mixture34,neutrophil,0.9994943896497326,0.7897422869405781,False
Blood,Mixture34,memory_B_cell,0.9993903284150081,0.9974974942807382,True
Blood,Mixture34,plasma_cell,0.9994872068339764,0.9976935610033424,True
Blood,Mixture34,platelet,0.999553376702053,0.999512919350557,True
Blood,Mixture35,erythrocyte,0.9995130177580721,0.7812192775033839,False
Blood,Mixture35,classical_monocyte,0.9992154863983849,0.9484765666353125,True
Blood,Mixture35,neutrophil,0.9994943896497326,0.8302389415576146,True
Blood,Mixture35,memory_B_cell,0.9993903284150081,0.9981540097282252,True
Blood,Mixture35,plasma_cell,0.9994872068339764,0.9984634979947342,True
Blood,Mixture35,platelet,0.999553376702053,0.9983325741168615,True
Blood,Mixture36,erythrocyte,0.9995130177580721,0.7656948776649366,False
Blood,Mixture36,classical_monocyte,0.9992154863983849,0.9487701011206026,True
Blood,Mixture36,neutrophil,0.9994943896497326,0.8138969373574078,True
Blood,Mixture36,memory_B_cell,0.9993903284150081,0.999330687020161,True
Blood,Mixture36,plasma_cell,0.9994872068339764,0.9979618166745184,True
Blood,Mixture36,platelet,0.999553376702053,0.9961793655560479,True
Blood,Mixture37,erythrocyte,0.9995130177580721,0.7301885658221376,False
Blood,Mixture37,classical_monocyte,0.9992154863983849,0.9430276406998427,True
Blood,Mixture37,neutrophil,0.9994943896497326,0.9195239524262684,True
Blood,Mixture37,memory_B_cell,0.9993903284150081,0.9592494887448244,True
Blood,Mixture37,plasma_cell,0.9994872068339764,0.9986475717029992,True
Blood,Mixture37,platelet,0.999553376702053,0.9882837759586968,True
Blood,Mixture38,erythrocyte,0.9995130177580721,0.8002614815452547,True
